id,item_id,response,score,timeTaken,session_id,theta,sem,trait,skipped,createdTime,updateTime,ability
1863,98,right-upper,1,13,i417,0.505643029131394,0.789606833742505,kanji,0,"2024-05-06 19:53:39","2024-05-06 19:53:39",
1864,316,me,1,8,i417,1.05394273900236,0.694231029602226,kanji,0,"2024-05-06 19:53:47","2024-05-06 19:53:47",
1865,378,important,1,9,i417,1.35557214231082,0.625107528695982,kanji,0,"2024-05-06 19:53:56","2024-05-06 19:53:56",
1866,298,train,1,10,i417,1.55051438459309,0.58373015619187,kanji,0,"2024-05-06 19:54:07","2024-05-06 19:54:07",
1867,381,話す,1,7,i417,1.69243529753052,0.55663183594252,kanji,0,"2024-05-06 19:54:14","2024-05-06 19:54:14",
1868,266,make,1,9,i417,1.80350384240814,0.537354869378843,kanji,0,"2024-05-06 19:54:23","2024-05-06 19:54:23",
1869,274,know,1,6,i417,1.8946033642513,0.522798508757728,kanji,0,"2024-05-06 19:54:31","2024-05-06 19:54:31",
1870,357,会社,1,25,i417,1.9716944759286,0.5113013630037,kanji,0,"2024-05-06 19:54:56","2024-05-06 19:54:56",
1871,396,basha,1,29,i417,2.03853102120219,0.501929094636544,kanji,0,"2024-05-06 19:55:26","2024-05-06 19:55:26",
1872,383,話す,1,4,i417,2.09749859110875,0.494091012307401,kanji,0,"2024-05-06 19:55:30","2024-05-06 19:55:30",
1873,386,telephone,1,15,i417,2.15025093951412,0.487403969007839,kanji,0,"2024-05-06 19:55:46","2024-05-06 19:55:46",
1874,359,会社,1,17,i417,2.19797229780499,0.481606244642793,kanji,0,"2024-05-06 19:56:05","2024-05-06 19:56:05",
1875,276,shiru,1,9,i417,2.24153901422286,0.476512403686881,kanji,0,"2024-05-06 19:56:15","2024-05-06 19:56:15",
1876,301,白い,1,21,i417,2.28155635671398,0.471971790378461,kanji,0,"2024-05-06 19:56:37","2024-05-06 19:56:37",
1877,338,student,1,7,i417,2.31866461633072,0.467913182942241,kanji,0,"2024-05-06 19:56:45","2024-05-06 19:56:45",
1878,282,everyday,1,3,i417,2.35321364763372,0.464243801727931,kanji,0,"2024-05-06 19:56:48","2024-05-06 19:56:48",
1879,308,akarui,1,12,i417,2.385522613453,0.460899886196906,kanji,0,"2024-05-06 19:57:01","2024-05-06 19:57:01",
